id_policy,id_pool,age,math_res
0,1,56,29741
1,2,35,458436
2,2,40,465828
3,2,34,593057
4,1,36,207312
5,2,38,168994
6,2,55,76825
7,1,39,851883
8,1,36,249546
9,1,64,885446
10,1,70,535823
11,2,40,623416
12,2,47,199047
13,1,62,266241
14,1,32,366123
15,1,61,256634
16,1,40,152056
17,1,37,849922
18,2,53,840887
19,1,52,663643
20,2,57,265624
21,1,39,472613
22,1,33,430184
23,2,35,749048
24,1,68,363545
25,1,53,750785
26,2,65,360895
27,1,33,787082
28,2,31,107437
29,1,66,810081
30,1,38,502766
31,2,50,915933
32,1,31,394345
33,2,36,237751
34,2,60,126842
35,1,51,419732
36,1,67,578639
37,1,41,433642
38,1,48,374183
39,2,59,286977
40,1,53,109849
41,1,42,314008
42,1,64,746303
43,1,68,335570
44,1,39,846715
45,1,58,148170
46,2,69,462828
47,2,70,756193
48,1,42,302611
49,1,64,505897
50,2,52,424105
51,2,47,500917
52,2,30,258107
53,1,67,215795
54,2,62,894704
55,2,46,834571
56,1,43,978228
57,2,65,261920
58,1,54,511773
59,2,41,894114
60,2,59,71882
61,2,66,721438
62,2,36,245920
63,2,35,896268
64,2,49,539243
65,1,56,826382
66,1,38,216033
67,1,41,966789
68,1,52,718276
69,1,48,513093
70,1,35,410359
71,1,45,534862
72,2,47,369412
73,2,60,649549
74,1,33,981871
75,1,57,801306
76,1,58,285736
77,1,45,67679
78,2,49,226868
79,1,44,850740
80,1,68,759768
81,1,61,251438
82,2,51,728604
83,2,56,46589
84,2,31,658864
85,1,53,579084
86,2,68,424831
87,1,50,226505
88,2,56,518149
89,1,60,187680
90,1,54,207300
91,1,35,991242
92,1,44,115475
93,2,59,999298
94,1,30,172314
95,2,44,118613
96,2,53,394231
97,2,69,281052
98,1,45,370257
99,2,44,72672
100,2,30,217535
101,1,37,698736
102,1,58,438228
103,2,56,251066
104,2,68,842970
105,2,38,804952
106,2,65,158388
107,2,60,395363
108,1,62,713479
109,2,63,104641
110,1,48,272966
111,1,68,149487
112,2,60,556810
113,1,35,326081
114,1,64,849589
115,2,42,996107
116,1,68,36570
117,2,45,297634
118,2,31,619452
119,1,57,619155
120,1,30,12775
121,1,44,844713
122,1,48,93087
123,1,45,737159
124,1,35,324852
125,2,62,308652
126,2,61,637187
127,2,59,339456
128,2,38,403998
129,2,32,710462
130,1,56,235802
131,2,69,957496
132,1,53,310221
133,2,39,327835
134,2,63,227111
135,1,49,118511
136,2,64,282342
137,1,30,355051
138,2,53,134617
139,1,63,110426
140,2,58,466838
141,1,35,951370
142,2,60,646492
143,1,49,602538
144,1,67,667573
145,2,63,814820
146,2,37,18027
147,1,50,250620
148,1,49,115670
149,2,35,554275
150,1,48,654699
151,1,57,992525
152,2,51,596872
153,2,56,557125
154,2,60,931673
155,2,44,501090
156,2,30,123780
157,1,40,347000
158,2,48,28995
159,2,55,889191
160,1,64,793371
161,1,37,805907
162,1,66,186125
163,1,66,438544
164,2,40,493978
165,1,60,569141
166,2,50,840336
167,1,66,590073
168,1,48,524504
169,2,40,758425
170,2,43,107578
171,2,43,681814
172,2,56,75821
173,1,69,696700
174,1,31,150734
175,1,43,872834
176,2,44,983527
177,1,32,768483
178,2,41,327913
179,1,63,153480
180,1,66,902161
181,2,59,443233
182,2,61,562217
183,1,60,532504
184,2,57,600696
185,1,62,362049
186,2,68,144759
187,2,52,528039
188,2,45,614528
189,2,40,802636
190,1,30,17436
191,2,49,815936
192,2,61,439615
193,1,45,154767
194,2,43,907442
195,2,62,328963
196,2,59,490300
197,2,31,932735
198,1,62,117617
199,2,32,670113
200,1,52,521268
201,2,52,190583
202,2,49,415941
203,2,30,576866
204,1,41,14422
205,1,43,772490
206,2,31,955511
207,1,37,131795
208,1,68,710710
209,1,70,609434
210,2,57,913035
211,2,35,287786
212,2,66,275212
213,2,43,352433
214,1,51,543503
215,1,63,327082
216,2,60,909105
217,1,69,591135
218,1,59,495430
219,2,36,496232
220,2,33,88755
221,1,56,461230
222,2,65,15063
223,2,54,465449
224,1,59,742139
225,2,40,725903
226,2,34,124198
227,2,59,635765
228,2,46,283676
229,1,48,648568
230,1,42,718111
231,1,62,701955
232,1,40,634526
233,2,70,56094
234,2,50,875820
235,2,56,504429
236,2,55,343814
237,2,39,68742
238,1,63,607184
239,1,43,110727
240,2,66,561772
241,2,53,203495
242,2,68,224015
243,1,47,929600
244,2,46,88080
245,1,66,230617
246,2,47,87936
247,2,39,942328
248,1,54,93651
249,2,70,584915
250,1,37,715369
251,2,60,207672
252,2,31,508663
253,2,33,531197
254,1,64,914307
255,2,56,321034
256,2,50,122549
257,2,64,665370
258,1,43,880327
259,2,30,253262
260,1,69,638237
261,2,54,133648
262,2,43,837252
263,1,33,901671
264,1,65,814751
